GEOID,display_name,LEVEL,homeless_k12_avg,homeless_k12_2020,bedscode,county_name,composition
3626640,Shelter Island Union Free School District,UNSD,1.0,0.0,580701020000,SUFFOLK,[]
3609870,East Moriches Union Free School District,UNSD,3.3333333333333335,0.0,580234020000,SUFFOLK,[]
3609900,East Quogue Union Free School District,UNSD,1.6666666666666667,0.0,580917020000,SUFFOLK,[]
3610680,Elwood Union Free School District,UNSD,13.666666666666666,11.0,580401020000,SUFFOLK,[]
3612840,Greenport Union Free School District,UNSD,45.666666666666664,48.0,581010020000,SUFFOLK,[]
3628560,Syosset Central School District,UNSD,6.0,0.0,280502060000,NASSAU,[]
3613290,Half Hollow Hills Central School District,UNSD,85.66666666666667,78.0,580405060000,SUFFOLK,[]
3605280,Brentwood Union Free School District,UNSD,522.0,411.0,580512030000,SUFFOLK,[]
3606840,Center Moriches Union Free School District,UNSD,7.333333333333333,0.0,580233020000,SUFFOLK,[]
3606870,Central Islip Union Free School District,UNSD,230.66666666666666,199.0,580513030000,SUFFOLK,[]
3630660,West Hempstead Union Free School District,UNSD,21.0,25.0,280227030000,NASSAU,[]
3608310,Copiague Union Free School District,UNSD,193.66666666666666,149.0,580105030000,SUFFOLK,[]
3613530,Hampton Bays Union Free School District,UNSD,18.333333333333332,0.0,580905020000,SUFFOLK,[]
3613620,Harborfields Central School District,UNSD,20.666666666666668,17.0,580406060000,SUFFOLK,[]
3615540,Islip Union Free School District,UNSD,43.666666666666664,49.0,580502020000,SUFFOLK,[]
3616260,Kings Park Central School District,UNSD,21.666666666666668,24.0,580805060000,SUFFOLK,[]
3617380,Lindenhurst Union Free School District,UNSD,43.666666666666664,48.0,580104030000,SUFFOLK,[]
3618690,William Floyd Union Free School District,UNSD,542.0,459.0,580232030000,SUFFOLK,[]
3619410,Miller Place Union Free School District,UNSD,16.0,19.0,580208020000,SUFFOLK,[]
3619710,Montauk Union Free School District,UNSD,0.0,0.0,580306020000,SUFFOLK,[]
3620520,New Suffolk Common School District,UNSD,0.0,0.0,,SUFFOLK,[]
3620910,North Babylon Union Free School District,UNSD,97.33333333333333,86.0,580103030000,SUFFOLK,[]
3606540,Carle Place Union Free School District,UNSD,5.666666666666667,0.0,280411030000,NASSAU,[]
3609840,East Meadow Union Free School District,UNSD,35.0,32.0,280203030000,NASSAU,[]
3615480,Island Park Union Free School District,UNSD,2.3333333333333335,0.0,280231020000,NASSAU,[]
3616830,Lawrence Union Free School District,UNSD,29.0,35.0,280215030000,NASSAU,[]
3617730,Long Beach City School District,UNSD,42.333333333333336,31.0,280300010000,NASSAU,[]
3619500,Mineola Union Free School District,UNSD,1.3333333333333333,0.0,280410030000,NASSAU,[]
3621570,Oceanside Union Free School District,UNSD,33.333333333333336,24.0,280211030000,NASSAU,[]
3614340,Hicksville Union Free School District,UNSD,36.333333333333336,33.0,280517030000,NASSAU,[]
3615510,Island Trees Union Free School District,UNSD,6.666666666666667,0.0,280226030000,NASSAU,[]
3615810,Jericho Union Free School District,UNSD,32.666666666666664,39.0,280515030000,NASSAU,[]
3624420,Remsenburg-Speonk Union Free School District,UNSD,0.0,0.0,580901020000,SUFFOLK,[]
3600125,Eastport-South Manor Central School District,UNSD,38.666666666666664,48.0,580912060000,SUFFOLK,[]
3612180,Glen Cove City School District,UNSD,29.333333333333332,25.0,280100010000,NASSAU,[]
3612510,Great Neck Union Free School District,UNSD,19.333333333333332,0.0,280407030000,NASSAU,[]
3614130,Hempstead Union Free School District,UNSD,1305.3333333333333,785.0,280201030000,NASSAU,[]
3605370,Bridgehampton Union Free School District,UNSD,13.333333333333334,11.0,580909020000,SUFFOLK,[]
3608130,Commack Union Free School District,UNSD,12.0,9.0,580410030000,SUFFOLK,[]
3608880,Deer Park Union Free School District,UNSD,48.333333333333336,41.0,580107030000,SUFFOLK,[]
3615780,Brookhaven-Comsewogue Union Free School District,UNSD,33.333333333333336,23.0,580203020000,SUFFOLK,[]
3626840,Shoreham-Wading River Central School District,UNSD,8.0,7.0,580601040000,SUFFOLK,[]
3627540,Southampton Union Free School District,UNSD,20.333333333333332,40.0,580906030000,SUFFOLK,[]
3619020,Bellmore-Merrick Central High School District (elem + high),SCSD,27.0,21.0,280253070000,NASSAU,"['Bellmore Union Free School District', 'Merrick Union Free School District', 'North Bellmore Union Free School District', 'North Merrick Union Free School District']"
3626520,Sewanhaka Central High School District (elem + high),SCSD,111.66666666666667,92.0,280252070000,NASSAU,"['Elmont Union Free School District', 'Floral Park-Bellerose Union Free School District', 'Franklin Square Union Free School District', 'New Hyde Park-Garden City Park Union Free School District']"
3629520,Valley Stream Central High School District (elem + high),SCSD,62.666666666666664,46.0,280251070000,NASSAU,"['Valley Stream Union Free School District 13', 'Valley Stream Union Free School District 24', 'Valley Stream Union Free School District 30']"
